,avg_log_income,log_income_per_capita,migrated_yn,income_satisfaction,income_sufficiency_6m,econ_condition,country
4,5.8522024797744745,4.7593208661010635,0,2,5,2,SLV
11,5.860786223465865,4.767855768548473,0,2,3,2,SLV
13,6.311734809152915,4.709530201312334,1,2,2,1,SLV
21,6.2166061010848646,4.434777200019885,1,2,3,2,SLV
27,5.707110264748875,3.9318256327243257,1,4,2,1,SLV
53,5.707110264748875,5.017279836814924,1,1,2,3,SLV
56,6.2166061010848646,5.121977881630436,1,2,5,99,SLV
58,5.707110264748875,4.330733340286331,1,2,2,2,SLV
78,5.303304908059076,3.713572066704308,0,3,2,2,SLV
83,6.493753839851686,4.890349128221754,0,3,5,2,SLV
85,,2.4849066497880004,1,2,5,1,SLV
99,6.90875477931522,5.303304908059076,0,2,5,1,SLV
103,,1.5404450410185773,0,3,3,2,SLV
108,8.412054873292933,6.803505257608338,0,1,1,2,SLV
111,6.68586094706836,5.303304908059076,1,1,5,2,SLV
112,6.68586094706836,5.081404364984463,0,2,5,2,SLV
117,4.61512051684126,3.044522437723423,1,3,1,1,SLV
118,4.61512051684126,3.9318256327243257,0,2,5,2,SLV
119,6.398594934535208,4.61512051684126,1,2,5,2,SLV
120,7.0909098220799835,5.707110264748875,1,1,4,2,SLV
131,5.017279836814924,3.9318256327243257,1,2,4,2,SLV
135,,1.8718021769015913,0,2,3,1,SLV
145,3.268800583237375,4.590056548178043,1,2,5,1,GT
150,,0.7985076961177716,0,2,5,1,SLV
153,,0.9444616086741848,0,3,5,1,SLV
154,5.707110264748875,3.9318256327243257,0,2,4,2,SLV
158,5.198497031265826,,0,1,5,2,SLV
160,5.303304908059076,3.3868086441617464,1,2,2,2,SLV
170,2.882182763867079,3.1208954166550558,1,2,2,3,GT
182,3.546924107986555,4.189654742026425,0,2,2,3,GT
188,5.303304908059076,3.5361166994644386,0,3,5,2,SLV
198,5.303304908059076,3.5361166994644386,0,3,5,1,SLV
204,6.55250788703459,5.170483995038151,0,2,2,2,SLV
222,5.5254529391317835,4.434777200019885,0,3,5,2,SLV
223,5.707110264748875,4.330733340286331,1,4,5,1,SLV
224,,1.041453874710514,0,4,4,2,SLV
225,6.55250788703459,4.767855768548473,1,2,2,2,SLV
226,5.707110264748875,4.330733340286331,0,2,3,2,SLV
235,5.860786223465865,4.083171261567796,0,3,5,2,SLV
236,5.5254529391317835,4.836281906951478,0,3,4,1,SLV
239,4.61512051684126,2.7269186856869667,0,2,2,2,SLV
246,5.5254529391317835,3.9318256327243257,0,2,5,1,SLV
249,4.705429914722859,4.954652659110302,0,2,4,3,GT
260,5.303304908059076,4.61512051684126,1,2,3,1,SLV
268,3.875129949178442,4.301358731606427,0,4,4,3,GT
274,5.017279836814924,3.9318256327243257,0,3,5,2,SLV
